time1,Cit_foldedP_theta1_Mean,Cit_foldedP_theta1_Std,time2,3  .*  Cit_AU_theta1_Mean,3  .*  Cit_AU_theta1_Std
0.0,11.29727226426347,1.0,0.0,27.184826133674086,6.0
5.0,105.09567072764499,12.10497881276062,5.0,870.119969463746,197.7027654523442
10.0,184.28918845597914,19.332963847158325,10.0,4974.019933539354,677.461334533749
15.0,224.43174019063588,23.960326342523942,15.0,6007.301890026692,1295.9915716678279
20.0,278.0283399719028,26.857023268190314,20.0,7113.538358524179,1960.667413769183
25.0,313.4232186358022,28.613392704419528,25.0,17629.00345942734,2616.2156159445876
30.0,300.417272474527,29.627902697637257,30.0,18638.567320987484,3231.66009029836
35.0,373.6495780676108,30.167775611215202,35.0,15314.43471916218,3791.5487722947446
40.0,278.1683182353016,30.41079056200239,40.0,20617.49891743316,4290.104791351987
45.0,258.07435572681186,30.474041755397884,45.0,20923.376378201432,4727.366083557058
50.0,298.3885933128777,30.433670111467578,50.0,28029.30514397473,5106.670206940982
55.0,306.9776610465,30.338358823411056,55.0,25871.957254451583,5433.043538881374
60.0,282.3101848799163,30.218529292256683,60.0,33994.201161710705,5712.193792514188
65.0,270.5793444689932,30.092579294181803,65.0,30190.6560269898,5949.901109078273
70.0,269.72423557937634,29.97109201239334,70.0,30241.552614919245,6151.669167630895
75.0,318.30627439624726,29.859657355082973,75.0,25503.702642734876,6322.543133746694
80.0,284.8971375626916,29.760747815181446,80.0,37848.902899815446,6467.032250907182
85.0,330.7675975279583,29.67495308245921,85.0,36263.56376666379,6589.09595568855
90.0,313.85051767823137,29.60178206050916,90.0,33776.81271129677,6692.166668048465
95.0,336.0187370889404,29.540175006784224,95.0,29548.54713509288,6779.19200141997
100.0,305.9049803207783,29.48882297002233,100.0,34992.980700887936,6852.685546573517
105.0,313.6068182953346,29.446360465204034,105.0,44288.49661891015,6914.779622761886
110.0,255.3374207677036,29.411475836288048,110.0,29556.001761800464,6967.276159859798
115.0,316.86057304484495,29.382969090754127,115.0,27448.096352317414,7011.693654190683
120.0,287.2171266749923,29.359777006341382,120.0,50520.0162517419,7049.309266838921
125.0,310.7918711045247,29.34097852113937,125.0,33750.92152749309,7081.195821892863
130.0,298.9395969237931,29.32578885105703,130.0,35276.888529826785,7108.253848416536
135.0,249.9873599514547,29.3135477325936,135.0,36851.97714517026,7131.239039932035
140.0,321.6476076066557,29.303705130324943,140.0,53060.310679491384,7150.78560597904
145.0,248.61361342242267,29.295806442329372,145.0,29038.842197387465,7167.425998426606
150.0,325.8937649673796,29.289478338522663,150.0,29245.987905356655,7181.607515804219
155.0,283.0764436887657,29.284415840844197,155.0,33501.05392515926,7193.706224000571
160.0,309.5761554015055,29.280370897633162,160.0,43796.87918532117,7204.038599320476
165.0,297.27074599764086,29.277142493121886,165.0,31835.291402526567,7212.871258330404
170.0,245.8791131637615,29.274568231723546,170.0,21037.470250624487,7220.42907203046
175.0,379.5003237729589,29.272517263062085,175.0,53096.406378827494,7226.901931924548
180.0,205.6973184748755,29.270884390014682,180.0,36175.06246123598,7232.450392957922
185.0,320.5806490201826,29.269585202097836,185.0,43304.73450940146,7237.210378686975
190.0,263.74040186862226,29.268552079826744,190.0,33164.42851423694,7241.297107728693
195.0,303.6472060636397,29.26773093224281,195.0,27678.893708871838,7244.808371738761
200.0,297.62106896227436,29.26707854393807,200.0,35291.486941840056,7247.827275161655
