time1,3  .*  Prot_theta1_Mean,3  .*  Prot_theta1_Std
0.0,5631.39785284501,900.0
1.0,4177.399836356187,876.5930215192589
2.0,2466.7819343117585,681.2561768836208
3.0,2639.426992178287,481.3877832055518
4.0,1338.0641318829835,323.5929263648279
5.0,1160.9321471427218,211.4635828189363
6.0,740.9882220283515,136.10998901766658
7.0,409.1789812756868,87.24007174987406
8.0,395.9567701562309,56.67896485786521
9.0,191.48152993699338,39.40013314102687
10.0,198.1983010988554,33.12693825136707
11.0,190.5804208359549,34.02992038982218
12.0,172.26418527176918,36.12672259964918
13.0,203.38232057546057,36.93063305884347
14.0,145.85437315659007,36.80892646003044
15.0,153.37173611282122,36.51862054453704
16.0,213.87168546713903,36.384238881970326
17.0,160.717768222882,36.386822324939374
18.0,185.99817812090427,36.424896993137416
19.0,213.30477038793242,36.445752617646704
20.0,187.40212423017937,36.44720724656019
21.0,476.0870160543229,150.56511653653317
22.0,1912.2357339652742,345.02258161154134
23.0,3140.7592382789544,519.2416103155473
24.0,3639.8860600498606,650.1966051806867
25.0,3845.4477170928026,740.9864743821407
26.0,4040.5331107968727,801.1584298323553
27.0,4583.072117136852,839.948443465626
28.0,4315.843352466176,864.5064802015028
29.0,4705.449024326112,879.8648079261144
30.0,5148.973506254487,889.3882006252818
31.0,5602.289504519342,895.2579340523266
32.0,4667.040651413891,898.8601197891875
33.0,2927.270323816489,901.0638344909066
34.0,3661.256429645241,902.4089379405558
35.0,3208.3564657928564,903.2285961741338
36.0,3552.3331846378187,903.7274568251626
37.0,4435.425515877188,904.0308006633176
38.0,5673.887619341924,904.2151327747024
39.0,4055.3890390938727,904.3270918841547
40.0,3659.8515126628627,904.3950686189264
41.0,3491.7162039025434,786.1167797964647
42.0,2635.9481009729225,584.5284190891258
43.0,2519.789153523724,403.91531825766697
44.0,991.2486326295972,268.1570765826181
45.0,1109.9955063915454,174.05506258152724
46.0,633.6779024047884,111.75853777743606
47.0,418.53288101180715,71.86962159639874
48.0,336.0878503321022,47.60584217695184
49.0,137.14984242963976,35.409818736298085
50.0,181.23959444281465,33.028217115476465
51.0,235.85234936412851,35.056564045731605
52.0,105.22436161233716,36.64701263021016
53.0,57.51834862494874,36.93854165015057
54.0,178.9904761117274,36.67154210241462
55.0,212.46201328611687,36.43682948891179
56.0,333.718884074312,36.37500903860145
57.0,255.82419001235542,36.40388429938299
58.0,174.17994094901835,36.43706801449343
59.0,200.9228726329728,36.44800504054082
60.0,162.20539598941647,36.44516911827869
