time1,3  .*  Prot_theta1_Mean,3  .*  Prot_theta1_Std
0.0,336.80674887428535,60.0
1.0,782.1208382769951,155.30330219898457
2.0,2109.723148063406,343.60655595184585
3.0,2805.555742909954,516.4551798300396
4.0,2390.9646978034466,647.6404378269461
5.0,1790.8122768984526,739.0469112815049
6.0,3721.660108557545,799.8071605102629
7.0,4638.398535603525,839.0502852158147
8.0,3825.2672337595163,863.926415162407
9.0,2937.299674344282,879.4971172188302
10.0,3960.621594911565,889.1580569539973
11.0,3746.158310924582,895.1151420049115
12.0,5681.928998261677,898.772073871054
13.0,4713.882378196055,901.0097849573582
14.0,5230.224078630995,902.3758645315444
15.0,5192.489042199648,903.2084054847949
16.0,3134.634151975048,903.7151518167648
17.0,3153.7033762059746,904.0233109890687
18.0,4901.173053138816,904.2105788107922
19.0,4385.2137916811325,904.3243241047535
20.0,4445.35036025529,904.393387369299
21.0,5343.835035542745,786.1157589936308
22.0,2521.787566058119,584.5277994624405
23.0,2481.444721495928,403.91494222663124
24.0,2104.5070095539886,268.1568484327078
25.0,846.8969602014553,174.05492422666413
26.0,487.5425188952784,111.7584540760497
27.0,409.73693546368156,71.86957164759195
28.0,228.07223229874194,47.60581463520013
29.0,175.74070055161746,35.40980885129193
30.0,203.23833735552594,33.02821881543749
31.0,150.25067433993004,35.05656745571314
32.0,181.16996394396324,36.64701386566721
33.0,216.78456392450266,36.938541417394234
34.0,230.48731047736658,36.67154162928161
35.0,244.78727218058174,36.436829279058216
36.0,137.81792834775712,36.375009048086326
37.0,179.6617571192905,36.40388436194699
38.0,189.38109481079903,36.43706804732032
39.0,182.2533707102006,36.44800504210223
40.0,182.88692749420497,36.44516911022523
41.0,707.3485393266535,150.5626200791918
42.0,2016.875415431407,345.02050116238274
43.0,2353.8806908181296,519.2400940147597
44.0,3424.6424013403125,650.1955711684795
45.0,2332.494668114379,740.9857958525049
46.0,3925.5161577534536,801.1579951983888
47.0,3728.6818219791935,839.9481694765857
48.0,3987.108774806065,864.5063093581247
49.0,5071.228906407894,879.8647022119964
50.0,3572.977750898941,889.3881355685498
51.0,5191.342298528928,895.2578941716664
52.0,3628.474246142716,898.86009540611
53.0,4671.745249608088,901.0638196160471
54.0,6029.462446065323,902.4089288809542
55.0,5519.299644621351,903.2285906627594
56.0,4762.551005685581,903.7274534751883
57.0,3803.7504748287106,904.0307986232345
58.0,4557.494348634503,904.2151315367948
59.0,4483.448247758588,904.3270911327011
60.0,4312.228040608982,904.3950681681329
