time1,3  .*  Prot_theta1_Mean,3  .*  Prot_theta1_Std
0.0,1.0e-10,1.0e-20
1.0,546.1806346327501,118.9114625732444
2.0,1526.596156302525,321.53378995180645
3.0,2550.622174389387,503.06736950975875
4.0,1843.6980486542438,639.5203216436803
5.0,4699.5314672618915,734.1218107161408
6.0,3459.6721387472285,796.8199367744052
7.0,2718.2098341543933,837.238441947645
8.0,4405.971973806943,862.8274766281706
9.0,4201.338930460431,878.8305767909937
10.0,4483.900375436758,888.7537783806276
11.0,3241.6485498573315,894.8699334465645
12.0,4659.428320577535,898.6233470987141
13.0,4520.3938469167315,900.9195785213969
14.0,4651.997603746198,902.3211521185846
15.0,4374.74788486508,903.1752210974614
16.0,2926.7229369332586,903.6950234458832
17.0,3844.4564766309127,904.0111019161943
18.0,5642.054177095316,904.2031738246286
19.0,3875.226746483839,904.3198333936125
20.0,4937.6813822596605,904.3906638862253
21.0,4059.056890487613,786.1141071238644
22.0,2964.2568908839967,584.5267975617875
23.0,2383.6442407416484,403.91433455777775
24.0,947.4082193629223,268.15647989872036
25.0,746.000459202035,174.05470081019672
26.0,420.76442008021877,111.75831894669227
27.0,341.3262447729921,71.86949102342422
28.0,195.2237979799693,47.60577018544574
29.0,166.70055724644675,35.40979290073327
30.0,177.36831121086254,33.028221560466456
31.0,149.2001409014524,35.056572958876984
32.0,132.64568145624395,36.64701585905123
33.0,157.32270933623772,36.93854104150574
34.0,211.20738427336633,36.671540865690964
35.0,122.03028114655615,36.436828940440826
36.0,212.08729846198085,36.37500906343056
37.0,221.82388545990656,36.40388446292233
38.0,107.03731350070444,36.437068100291334
39.0,182.44782035472545,36.44800504462034
40.0,153.14050792646842,36.445169097227485
41.0,684.7027244982237,150.5626200671078
42.0,1505.6119177724006,345.0205011531566
43.0,2221.2172992066517,519.2400940083004
44.0,4014.2648133397,650.1955711641687
45.0,3963.4305193436103,740.9857958497155
46.0,2597.373927047077,801.1579951966178
47.0,4473.996633681178,839.9481694754754
48.0,5526.343062288177,864.5063093574347
49.0,5984.553053274091,879.8647022115704
50.0,3469.1176476250826,889.3881355682881
51.0,4954.108760485266,895.2578941715061
52.0,5063.759487561844,898.8600954060117
53.0,4812.991581214386,901.0638196159871
54.0,4016.1290741113244,902.4089288809181
55.0,4303.772094695506,903.2285906627376
56.0,2652.6134676659317,903.7274534751749
57.0,5074.470073154541,904.0307986232264
58.0,5732.010361149132,904.2151315367897
59.0,4501.502792931238,904.327091132698
60.0,3560.2045939568175,904.3950681681313
