time1,2_theta1_Mean,2_theta1_Std
0.0,98.08878085425145,10.0
1.0,285.85218896881975,25.88388369983076
2.0,536.7136982924031,57.26775932530764
3.0,859.8487014749394,86.0758633050066
4.0,1299.9585917704935,107.94007297115769
5.0,1344.7801876830974,123.17448521358413
6.0,1292.210818144186,133.30119341837715
7.0,1405.0938403929024,139.84171420263576
8.0,1597.4769040981273,143.98773586040116
9.0,1659.8566117847477,146.582852869805
10.0,1751.6080564639637,148.19300949233286
11.0,1416.817050423167,149.18585700081857
12.0,1461.2793292579995,149.79534564517564
13.0,1481.2701030479811,150.16829749289303
14.0,1781.1498629626717,150.39597742192407
15.0,1287.310826248076,150.53473424746582
16.0,1428.324324588073,150.61919196946081
17.0,1529.453267756958,150.67055183151146
18.0,1214.67157489083,150.70176313513204
19.0,1412.621073091163,150.72072068412558
20.0,1391.110128961538,150.7322312282165
21.0,1509.1194301023304,150.73921845270607
22.0,1314.3949719591794,150.74345816974443
23.0,1512.9717583854947,150.746031128487
24.0,1474.8628848532037,150.7475924213299
25.0,1571.465155566892,150.7485399405186
26.0,1384.6036521220583,150.7491142975912
27.0,1554.5483476423638,150.7494627572289
28.0,1477.9208376189194,150.7496740142677
29.0,1492.212560951665,150.74980190018613
30.0,1497.9774694961745,150.74987957703382
31.0,1772.2111621503439,150.74992695306187
32.0,1581.9121361917948,150.74995566029537
33.0,1550.4760097367703,150.7499730629343
34.0,1575.352728677201,150.74998366373333
35.0,1465.0530280282148,150.7499900918179
36.0,1183.9557326204565,150.7499939526157
37.0,1391.8375076876075,150.74999627371963
38.0,1693.9213666465996,150.74999769709916
39.0,1630.708796688122,150.74999858840368
40.0,1428.8765266226353,150.74999914293304
41.0,1234.9320107552448,131.03007437578984
42.0,988.2040962448314,97.42784099295078
43.0,717.8890010103686,67.32312521178363
44.0,487.74935111350356,44.69521506163151
45.0,289.7610489573177,29.010613431429153
46.0,165.92524774572576,18.62729177306063
47.0,141.07185543615978,11.978788671850063
48.0,89.59096474459162,7.934592852801851
49.0,50.51002267139083,5.901738987658155
50.0,61.738849056318955,5.504685186824375
51.0,61.10880240408683,5.842725310170433
52.0,64.62534012955877,6.107822635688214
53.0,62.47452116453463,6.156426021692588
54.0,57.54421905279045,6.111928589046986
55.0,60.29748668886423,6.072807092269001
56.0,71.61587688767553,6.062501401054114
57.0,54.419218540187615,6.067313401068492
58.0,50.2215137871844,6.072844328589756
59.0,58.84727934035934,6.074667489180917
60.0,62.478055713787214,6.074194937505236
