time1,Cit_foldedP_theta1_Mean,Cit_foldedP_theta1_Std,time2,3  .*  Cit_AU_theta1_Mean,3  .*  Cit_AU_theta1_Std
0.0,12.186380748421701,40.0,0.0,4905.94289148491,2000.0
5.0,63.7556361103672,40.0,5.0,3877.375584018576,2000.0
10.0,-5.19040796354723,40.0,10.0,-1069.748327303742,2000.0
15.0,33.38631405635119,40.0,15.0,3626.4084957296195,2000.0
20.0,94.19665460719335,40.0,20.0,3892.46066020469,2000.0
25.0,87.47232679631442,40.0,25.0,5380.902701032888,2000.0
30.0,94.77898617255414,40.0,30.0,3235.192884558678,2000.0
35.0,120.39245250704981,40.0,35.0,3557.657613127974,2000.0
40.0,210.06576281071784,40.0,40.0,11051.456012551816,2000.0
45.0,172.8247372681181,40.0,45.0,7264.6916352254775,2000.0
50.0,149.6778928501703,40.0,50.0,8998.955237564105,2000.0
55.0,186.48227270913745,40.0,55.0,12003.57322696553,2000.0
60.0,136.9925580219593,40.0,60.0,14344.743920313982,2000.0
65.0,123.78318122139872,40.0,65.0,17391.2642884506,2000.0
70.0,160.29902605330753,40.0,70.0,17897.802292376025,2000.0
75.0,247.3054972462559,40.0,75.0,19124.305685715848,2000.0
80.0,75.07631878158597,40.0,80.0,17936.02201065087,2000.0
85.0,287.4985628277385,40.0,85.0,18397.128211804436,2000.0
90.0,142.00911965960282,40.0,90.0,18025.32992435887,2000.0
95.0,251.55682274200055,40.0,95.0,22759.037064392272,2000.0
100.0,215.88467112680542,40.0,100.0,20938.66561252278,2000.0
105.0,208.01110844166863,40.0,105.0,25501.901581417857,2000.0
110.0,209.3176442565089,40.0,110.0,22317.520093836705,2000.0
115.0,170.1676226658347,40.0,115.0,24586.8836500111,2000.0
120.0,255.38358642253536,40.0,120.0,23040.218876300456,2000.0
125.0,253.92417932380425,40.0,125.0,27606.46700243666,2000.0
130.0,216.30440230813923,40.0,130.0,24334.237421502276,2000.0
135.0,246.09049342030707,40.0,135.0,23314.4749227326,2000.0
140.0,234.76862565899728,40.0,140.0,21976.356018084294,2000.0
145.0,188.93801929731788,40.0,145.0,21586.843863959097,2000.0
150.0,165.26126142679598,40.0,150.0,25735.15741234297,2000.0
155.0,200.16690061337724,40.0,155.0,27062.451064052864,2000.0
160.0,244.07652168997805,40.0,160.0,29198.806861292967,2000.0
165.0,220.9271783064396,40.0,165.0,24651.401222975404,2000.0
170.0,233.03747655265306,40.0,170.0,24969.952387443413,2000.0
175.0,234.30050472400978,40.0,175.0,24510.236143084774,2000.0
180.0,161.54765779054767,40.0,180.0,23508.33767306212,2000.0
185.0,199.29255566593622,40.0,185.0,23529.434098357524,2000.0
190.0,196.95752997106294,40.0,190.0,29735.36651368092,2000.0
195.0,162.0422480762338,40.0,195.0,26375.648917438422,2000.0
200.0,259.0439170106869,40.0,200.0,28480.64194475819,2000.0
205.0,200.2906096256439,40.0,205.0,26091.84683555945,2000.0
210.0,272.6299832206927,40.0,210.0,29407.977520056957,2000.0
215.0,264.6107454336051,40.0,215.0,29161.419653516277,2000.0
220.0,195.42540659478883,40.0,220.0,26751.19772851117,2000.0
225.0,328.072589179086,40.0,225.0,27565.472704931337,2000.0
230.0,215.62454444879992,40.0,230.0,26136.818786881868,2000.0
235.0,234.7368722683438,40.0,235.0,30342.708568630605,2000.0
240.0,232.9944857375845,40.0,240.0,28098.035450797775,2000.0
245.0,216.64682989149156,40.0,245.0,26239.440904820338,2000.0
250.0,183.85410371778133,40.0,250.0,26212.04837375668,2000.0
255.0,256.715691838493,40.0,255.0,27048.835998607046,2000.0
260.0,199.88106491663856,40.0,260.0,30637.15898014643,2000.0
265.0,237.07403214358655,40.0,265.0,26299.74393858587,2000.0
270.0,193.29730882391505,40.0,270.0,23614.306460636173,2000.0
275.0,236.15138938325765,40.0,275.0,26174.054943534942,2000.0
280.0,126.97289029717183,40.0,280.0,24629.378301459474,2000.0
285.0,193.67660422641123,40.0,285.0,24816.131744093873,2000.0
290.0,226.22794419453936,40.0,290.0,27707.736464744445,2000.0
295.0,243.55008814917193,40.0,295.0,26021.997585928846,2000.0
300.0,108.35804517303887,40.0,300.0,25486.68163402484,2000.0
305.0,211.1459429091749,40.0,305.0,28169.732302807362,2000.0
310.0,130.7670524711678,40.0,310.0,24652.04130624117,2000.0
315.0,232.96029951869735,40.0,315.0,27089.939303301406,2000.0
320.0,180.57214681127203,40.0,320.0,27405.27252761369,2000.0
325.0,205.09829451343273,40.0,325.0,27245.09417945993,2000.0
330.0,280.50203671998605,40.0,330.0,27827.516559287335,2000.0
335.0,196.86314727247313,40.0,335.0,27047.406806943392,2000.0
340.0,240.56536911779693,40.0,340.0,26976.521921229658,2000.0
345.0,177.18303978242847,40.0,345.0,23755.843401125014,2000.0
350.0,269.5056964739413,40.0,350.0,28625.52450096123,2000.0
355.0,153.76071559584338,40.0,355.0,24274.931879214895,2000.0
360.0,174.75947670341563,40.0,360.0,25256.92564943516,2000.0
365.0,190.18904538592514,40.0,365.0,27670.076606564464,2000.0
370.0,214.9264673477463,40.0,370.0,23076.680831344092,2000.0
375.0,152.76461483429827,40.0,375.0,25476.251879256335,2000.0
380.0,207.00911871551784,40.0,380.0,26442.991549576964,2000.0
385.0,238.36202794516697,40.0,385.0,26851.218471918528,2000.0
390.0,165.69113477925464,40.0,390.0,28488.60978536525,2000.0
395.0,185.3946832687771,40.0,395.0,25390.342343867138,2000.0
400.0,156.9264626226455,40.0,400.0,28356.804891083226,2000.0
405.0,151.89412759604335,40.0,405.0,29280.884577040968,2000.0
410.0,193.7671527371725,40.0,410.0,28302.172789315566,2000.0
415.0,272.1049244827326,40.0,415.0,26077.0349397554,2000.0
420.0,215.3745595271317,40.0,420.0,26226.737192203942,2000.0
425.0,158.4130582905158,40.0,425.0,26620.052909826776,2000.0
430.0,240.44820576144332,40.0,430.0,27995.09490074234,2000.0
435.0,217.25111603863746,40.0,435.0,26078.182661035837,2000.0
440.0,186.59562852948662,40.0,440.0,29139.259203097026,2000.0
445.0,248.4370099369923,40.0,445.0,24893.863259394115,2000.0
450.0,193.58916135196984,40.0,450.0,27227.70265555043,2000.0
455.0,180.9510544382338,40.0,455.0,25152.73221944752,2000.0
460.0,174.96895981613758,40.0,460.0,26710.758869091063,2000.0
465.0,183.5434242770984,40.0,465.0,24231.296743419192,2000.0
470.0,243.87326831388026,40.0,470.0,26352.66351977525,2000.0
475.0,195.26926536908348,40.0,475.0,24749.137351547313,2000.0
480.0,238.48668481425682,40.0,480.0,24923.958822482946,2000.0
485.0,174.69545827355856,40.0,485.0,29367.4211096828,2000.0
490.0,157.81558957514522,40.0,490.0,27494.207547706308,2000.0
495.0,210.3815771097281,40.0,495.0,28088.78798950229,2000.0
500.0,188.76807214218888,40.0,500.0,27710.449269600416,2000.0
505.0,180.2463408145555,40.0,505.0,26644.494162878185,2000.0
510.0,226.1373522855155,40.0,510.0,29604.710177138262,2000.0
515.0,281.54608812576697,40.0,515.0,27916.40960637787,2000.0
520.0,253.82376771926008,40.0,520.0,26991.87799818136,2000.0
525.0,261.6645996417601,40.0,525.0,31200.990433536754,2000.0
530.0,303.459620361227,40.0,530.0,28476.70182241877,2000.0
535.0,339.1613364199594,40.0,535.0,31467.094777003695,2000.0
540.0,353.813143771254,40.0,540.0,31025.49396404437,2000.0
545.0,310.35536683089526,40.0,545.0,35248.816132283595,2000.0
550.0,318.097359363531,40.0,550.0,37018.18756106033,2000.0
555.0,422.7411334710024,40.0,555.0,37345.1851699842,2000.0
560.0,273.7693285706653,40.0,560.0,36966.02137319723,2000.0
565.0,358.76116303275325,40.0,565.0,40791.788615561665,2000.0
570.0,346.73702377819137,40.0,570.0,43338.18887650237,2000.0
575.0,340.52088596560327,40.0,575.0,38495.21263314571,2000.0
580.0,321.1531951503756,40.0,580.0,44869.14170317476,2000.0
585.0,373.8867307849205,40.0,585.0,45482.72901572549,2000.0
590.0,436.84068930647646,40.0,590.0,44267.778706882484,2000.0
595.0,339.0159989510825,40.0,595.0,45199.28073523983,2000.0
600.0,412.5986427060914,40.0,600.0,47868.601580769435,2000.0
605.0,408.61849789230234,40.0,605.0,48242.71313344408,2000.0
