time1,2_theta1_Mean,2_theta1_Std
0.0,99.7799457996044,10.0
1.0,249.06294806837832,25.88388369983076
2.0,572.4697309149076,57.26775932530764
3.0,850.7935803764854,86.0758633050066
4.0,1150.0422668126337,107.94007297115769
5.0,1296.8428018640343,123.17448521358413
6.0,1496.556418336505,133.30119341837715
7.0,1643.2906607685247,139.84171420263576
8.0,1207.0306600828314,143.98773586040116
9.0,1576.9258750260187,146.582852869805
10.0,1380.64893543266,148.19300949233286
11.0,1615.5663458968622,149.18585700081857
12.0,1281.1900068905184,149.79534564517564
13.0,1490.60842898477,150.16829749289303
14.0,1527.7868019899925,150.39597742192407
15.0,1477.8169358109449,150.53473424746582
16.0,1464.497583057667,150.61919196946081
17.0,1498.744872384867,150.67055183151146
18.0,1834.9783844743592,150.70176313513204
19.0,1467.334037773453,150.72072068412558
20.0,1475.6976197276706,150.7322312282165
21.0,1559.7469859686526,131.01929316560515
22.0,1017.3725226741186,97.42129991040674
23.0,693.9729284262268,67.31915703777187
24.0,411.1750147368283,44.69280807211797
25.0,291.5206104001957,29.009154037777353
26.0,186.2643724254,18.62640901267495
27.0,140.61107517285484,11.978261941265327
28.0,83.18996002140798,7.934302439200022
29.0,52.17519271095121,5.901634808548654
30.0,53.34460339155791,5.504703135906248
31.0,57.786556576336196,5.842761242618857
32.0,51.124699010365056,6.107835644277868
33.0,56.52595554824828,6.156423569565706
34.0,61.61146231188691,6.1119236048802685
35.0,53.71013032760565,6.072804879843036
36.0,59.44366411938839,6.062501508014388
37.0,75.26414590350664,6.067314060324499
38.0,64.43522155397662,6.072844674553386
39.0,59.670133663397664,6.07466750701704
40.0,56.453034696670315,6.074194851704204
41.0,231.4244589557985,25.093770013198633
42.0,543.8042801037717,57.503416860397124
43.0,883.7847853422637,86.54001566912662
44.0,1130.8257645297801,108.36592852807992
45.0,1153.130447072778,123.49763264208414
46.0,1045.978562841237,133.5263325330648
47.0,1467.5046519922373,139.99136157943096
48.0,1498.1473774122799,144.08438489302077
49.0,1263.9296653597785,146.64411703533275
50.0,1511.860519738924,148.23135592809166
51.0,1666.67554104008,149.20964902861107
52.0,1367.1321670816858,149.81001590101832
53.0,1625.455118257821,150.1773032693412
54.0,1713.0470589209344,150.4014881468257
55.0,1350.891733334242,150.53809844379325
56.0,1173.0683897061724,150.62124224586472
57.0,1642.8713186997106,150.67179977053908
58.0,1365.1569610051838,150.70252192279915
59.0,1328.423561350702,150.7211818554502
60.0,1519.583322458906,150.73251136135548
