time1,3  .*  Cit_AU_theta1_Mean,3  .*  Cit_AU_theta1_Std,time2,3  .*  Cit_AU_theta2_Mean,3  .*  Cit_AU_theta2_Std,time3,3  .*  Cit_AU_theta3_Mean,3  .*  Cit_AU_theta3_Std
0.0,2382.2027742903842,246.90287158650077,0.0,1872.2322405745158,234.5577280071758,0.0,2914.5064261168445,296.283445903801
10.0,2601.8815853048936,281.58044231790734,10.0,2524.743964118997,263.7456315373547,10.0,3257.00820942625,358.1782692875503
20.0,3915.752199212067,443.22707274378513,20.0,4210.214384044116,402.52081047240637,20.0,6078.668145390783,624.8940887417125
30.0,7497.704350362472,722.2526990427014,30.0,7058.483110483402,647.3781108315467,30.0,11055.8371677595,1046.915033426036
40.0,9578.82963251849,1066.3289107457051,40.0,8678.835947348267,955.9852404080317,40.0,15169.640403216843,1524.2771252690777
50.0,14933.944767465488,1426.6520859318857,50.0,13352.64736136456,1286.1464052486917,50.0,19188.01064546942,1983.8001180286815
60.0,17787.537939174657,1769.829274829699,60.0,15382.888612961597,1607.2169493586562,60.0,22960.957447282315,2387.067856323668
70.0,21681.67283561015,2077.3498168420156,70.0,20669.891064047115,1900.8241189245502,70.0,25902.354095243176,2720.8344065603324
80.0,21459.852833260178,2341.651800475812,80.0,18407.463651041242,2158.2029166509246,80.0,28881.29844461506,2986.3860775407766
90.0,23228.225042832433,2562.1231745270125,90.0,26778.68506904907,2377.0724416277726,90.0,39869.68570183396,3191.8818879986843
100.0,26691.862024418548,2742.018637019921,100.0,26559.309245056626,2559.046099909827,100.0,37497.690121082516,3347.738349793641
110.0,31967.04022984106,2886.376310273457,110.0,22845.685288740064,2707.7739115529566,110.0,31420.548036248947,3464.1987010456523
120.0,29282.560238487466,3000.7371430969188,120.0,27934.213349479993,2827.7284942600113,120.0,35998.33650374332,3550.2501651878893
130.0,37765.10420241696,3090.4292390794944,130.0,28458.01386883351,2923.4739856665055,130.0,34201.62100869218,3613.290611669963
140.0,32963.80388967148,3160.218083050411,140.0,31445.77982775755,2999.2664246064705,140.0,35399.90878257415,3659.1694821102883
150.0,29394.516766547862,3214.1779839252617,150.0,26997.209021077484,3058.867060160507,150.0,38387.43654848962,3692.387762703331
160.0,36726.504327864895,3255.6877136431176,160.0,33708.82736651326,3105.4842430552403,160.0,36458.06336094278,3716.3428451085056
170.0,31105.621495709307,3287.489060121372,170.0,34568.87950373079,3141.7875345044486,170.0,35356.18295765057,3733.563383685118
180.0,33429.076307896685,3311.771514786298,180.0,27426.12338675038,3169.958144370359,180.0,38786.58945975028,3745.9118379999363
190.0,36578.550610104016,3330.262411811157,190.0,26325.412846744748,3191.753982705578,190.0,40479.066162973,3754.749146190874
200.0,39751.912925967576,3344.3117526305814,200.0,31425.872735499433,3208.576905198001,200.0,45631.63420952729,3761.063735394087
210.0,34660.13684274315,3354.966901999134,210.0,29260.96497812458,3221.5356024172834,210.0,41428.792028101365,3765.5701039951828
220.0,25879.17774854863,3363.0357041326592,220.0,29300.777994878255,3231.501156732651,220.0,34460.40925134046,3768.782836540854
230.0,33854.207325316915,3369.1383645393707,230.0,30439.898228497565,3239.1543577594025,230.0,31266.163821876064,3771.0714672328236
240.0,34595.19032473823,3373.749244162016,240.0,36945.77094480838,3245.0250160057326,240.0,36704.75267108302,3772.7007610310015
250.0,34771.14924942079,3377.230046991219,250.0,29966.656851984364,3249.524005555153,250.0,32732.50141444538,3773.8600704668083
260.0,37583.23932892928,3379.8558933743643,260.0,34328.96573301143,3252.969060093817,260.0,39351.44635102327,3774.6846316798205
270.0,30307.133512228997,3381.8356216764573,270.0,41962.91473713715,3255.6053121308432,270.0,32715.18227555858,3775.270910011753
280.0,32497.20209985891,3383.3274927725274,280.0,29559.49181446129,3257.621517597666,280.0,36845.68990391772,3775.6876546646076
290.0,33822.725082870624,3384.4512746495743,290.0,29981.787567391053,3259.1627887683176,290.0,41956.57297818111,3775.9838264927457
300.0,31627.479329870148,3385.297502379891,300.0,36767.15699348218,3260.3405374643803,300.0,38461.885184214334,3776.1942739283622
310.0,37993.39881745905,3385.9345493227684,310.0,35082.754288065626,3261.2402069650925,310.0,35604.1994059908,3776.343788606376
320.0,31298.600652760815,3386.4140119873637,320.0,27001.00131865363,3261.9272645606043,320.0,33281.245024647775,3776.4500012744156
330.0,34794.210844538495,3386.7747993974845,330.0,27566.85375250606,3262.451833210126,330.0,42059.387437286416,3776.5254443404906
340.0,42582.82456793119,3387.0462434662695,340.0,29148.749677961994,3262.8522628080705,340.0,40303.103647064054,3776.579028102614
350.0,25893.7354095176,3387.2504432215,350.0,30937.29778873389,3263.1578783466193,350.0,31875.393183742497,3776.6170867799083
360.0,31339.852217895645,3387.404038545101,360.0,34781.53217959134,3263.391101005399,360.0,40051.67904345119,3776.6441160096674
370.0,38544.622085193856,3387.5195599314693,370.0,30272.850927203184,3263.569058208579,370.0,34985.980521391844,3776.6633115945933
380.0,33775.094197804094,3387.606438339565,380.0,34168.87413965697,3263.7048320022004,380.0,36114.605140584245,3776.67694363496
390.0,37017.05960958941,3387.6717715155596,390.0,39238.49475815695,3263.8084135949657,390.0,37941.470731018824,3776.686624209913
400.0,32458.24971331742,3387.720899860382,400.0,32677.48816754662,3263.8874301022984,400.0,46217.635197054355,3776.6934986838714
410.0,36750.023719081095,3387.757841024863,410.0,36913.83423118656,3263.94770389949,410.0,36685.04005441778,3776.698379458145
420.0,34024.61026100005,3387.785616801195,420.0,29168.197409266824,3263.9936784933716,420.0,42468.55494060082,3776.7018441693976
430.0,35851.391201354396,3387.8064994904635,430.0,39450.652528001425,3264.0287447359497,430.0,33044.94317321417,3776.704305028861
440.0,39765.14423545077,3387.822200135475,440.0,36200.22475134028,3264.055489588345,440.0,34244.54742168046,3776.7060535339842
450.0,27295.40896844642,3387.834005909812,450.0,27959.10807374452,3264.075886315991,450.0,38799.115444670206,3776.7072952795497
460.0,38521.52012753277,3387.842882068317,460.0,30991.537071764265,3264.091441586552,460.0,39683.24964219725,3776.7081768677185
470.0,32206.109369049525,3387.8495552217087,470.0,31013.24726945122,3264.1033057937634,470.0,35491.227597606456,3776.7088030163086
480.0,33647.0387516862,3387.8545724135097,480.0,28913.526910408847,3264.1123544576512,480.0,35532.624947204284,3776.709247848465
490.0,34712.275554629676,3387.8583444985143,490.0,38546.101309876016,3264.119255022959,490.0,40609.64244381079,3776.7095634264
500.0,35961.34122066348,3387.8611803720764,500.0,36953.64112524484,3264.124517544567,500.0,43035.89658871246,3776.709786925874
510.0,35416.69678978608,3387.863312363452,510.0,33325.2336253261,3264.128531044561,510.0,34610.48428510455,3776.709945416662
520.0,29028.48142273778,3387.864915070611,520.0,32485.943153896635,3264.1315917919183,520.0,39655.293064706675,3776.7100581403774
530.0,26813.869000891173,3387.866119517592,530.0,36430.11421537164,3264.1339258799085,530.0,35711.484691222795,3776.7101385925776
540.0,31355.213383417915,3387.8670246166776,540.0,31679.037158475017,3264.1357058990798,540.0,41040.00080761146,3776.7101961213457
550.0,33224.03029909842,3387.867705117771,550.0,31026.462020858322,3264.1370630580773,550.0,36394.630037470466,3776.710237116383
560.0,29276.850523247158,3387.8682171253113,560.0,32232.901501948636,3264.138097496854,560.0,31761.714538119588,3776.7102658738386
570.0,39156.38671061547,3387.8686024207764,570.0,36243.838538861644,3264.1388861511864,570.0,46316.19977796568,3776.7102853874985
580.0,34614.083993695276,3387.868892165752,580.0,30038.96130456011,3264.139487801918,580.0,47164.62467574599,3776.7102990681387
590.0,30556.937663624354,3387.8691098976983,590.0,30555.099477467997,3264.1399470038164,590.0,37816.441080513825,3776.710306574499
600.0,29662.27142864332,3387.8692735646364,600.0,34915.37648357467,3264.1402974578227,600.0,37300.5818386514,3776.710313104459
610.0,35533.63276531894,3387.8693966957817,610.0,33458.83485143931,3264.140564760479,610.0,35748.138130689666,3776.710316023
620.0,31115.8924444038,3387.8694893525303,620.0,34550.27292459661,3264.140768502929,620.0,35291.39468716997,3776.710319085267
630.0,39656.389550095446,3387.8695589889358,630.0,31257.35841372751,3264.1409238555775,630.0,39171.91092105043,3776.7103225217297
640.0,32192.226659890996,3387.86961121321,640.0,29315.56314048016,3264.141042410921,640.0,37609.32000231544,3776.7103254830454
650.0,31321.420582636387,3387.869649697494,650.0,26507.862553398336,3264.141132899791,650.0,38920.28078867678,3776.7103287405635
660.0,30933.082375743874,3387.8696772231287,660.0,40113.31363736216,3264.1412019021645,660.0,36859.57954890909,3776.710331666683
670.0,36090.66613326626,3387.8696982949714,670.0,33579.5772011758,3264.1412543924353,670.0,35935.78941163696,3776.7103338563993
680.0,32088.855873142602,3387.869713767076,680.0,36194.48665200814,3264.1412942791644,680.0,37255.17267367935,3776.7103368675134
690.0,32616.991591900758,3387.8697262051846,690.0,35940.05947700989,3264.1413243922616,690.0,30758.299095990984,3776.7103395419144
700.0,33479.93825692099,3387.869736506339,700.0,27851.08297729198,3264.141347388786,700.0,37328.99294529209,3776.710341065207
710.0,28985.890047520403,3387.8697448366183,710.0,30896.774748895215,3264.1413647659374,710.0,32898.76031852454,3776.710341571199
720.0,26728.857814524268,3387.8697516699754,720.0,31229.577909042662,3264.1413782990344,720.0,38030.014265045524,3776.7103430656507
730.0,39659.250047911984,3387.8697568078055,730.0,31762.8476966041,3264.1413886891023,730.0,43754.322769298815,3776.7103438773797
740.0,29098.821099369685,3387.8697603831965,740.0,31578.99949227767,3264.141396873807,740.0,36506.87502127989,3776.710343542414
750.0,37249.63788760817,3387.869762824643,750.0,28177.674482561724,3264.1414032107496,750.0,33037.79026964192,3776.7103428466708
760.0,39289.17821668866,3387.869764299271,760.0,34013.463103063026,3264.1414081018092,760.0,40605.94146514826,3776.7103424070865
770.0,36589.2494976107,3387.869765329364,770.0,29902.228992830565,3264.141411829208,770.0,41270.91008955476,3776.7103417091685
780.0,35616.05945725062,3387.8697661898623,780.0,32000.971065104386,3264.141414486572,780.0,37684.485102424296,3776.710340797297
790.0,29203.574202496442,3387.8697669589383,790.0,36526.44183372762,3264.1414162044293,790.0,34388.951758076306,3776.710339874629
800.0,37648.40656472952,3387.8697677884747,800.0,39578.160057021945,3264.141417336934,800.0,41365.49740203803,3776.710339031102
810.0,34477.7884489775,3387.869768522841,810.0,35052.36535372037,3264.1414184530754,810.0,43261.22280906458,3776.7103383772246
820.0,35852.51456542261,3387.8697694331577,820.0,34167.79877059339,3264.1414183121265,820.0,42632.887963045774,3776.7103380249173
830.0,29766.218981903115,3387.8697706609296,830.0,29880.552677899475,3264.1414177744846,830.0,38898.09062360874,3776.7103376258005
840.0,39170.80168732179,3387.8697717208534,840.0,30791.692752560695,3264.14141749297,840.0,44365.24407974222,3776.7103373847526
850.0,38509.37813669683,3387.8697720832592,850.0,33150.56718401019,3264.141417998565,850.0,37113.53138922446,3776.710337305919
860.0,36059.152472275695,3387.869773550748,860.0,35400.64558371284,3264.141417353714,860.0,36837.44704490226,3776.710337362045
870.0,42889.131819840186,3387.8697748580307,870.0,28779.797764795574,3264.141416924832,870.0,34647.524015623945,3776.7103374701264
880.0,31015.192319989164,3387.869775306457,880.0,29371.635976995443,3264.141417141107,880.0,41495.20553038151,3776.7103376029286
890.0,33188.06573835395,3387.8697753258707,890.0,32068.814286303554,3264.1414179494614,890.0,35931.54794214152,3776.710337692892
900.0,31917.239553074054,3387.8697758650364,900.0,32946.559353437064,3264.1414184066293,900.0,39759.787925682154,3776.7103378655434
910.0,26937.491686291403,3387.869775936222,910.0,31164.36440956221,3264.1414190696605,910.0,37197.908934330284,3776.7103381940456
920.0,35707.9230283615,3387.8697751726404,920.0,31389.611212344662,3264.141419904662,920.0,38425.772076528956,3776.710338527944
930.0,34179.70281415693,3387.869774572016,930.0,28837.89934884451,3264.1414208847095,930.0,43840.77883437119,3776.7103388079313
940.0,30940.38210497608,3387.8697738419296,940.0,32958.55146111083,3264.1414219541475,940.0,38411.86374639304,3776.7103389610684
950.0,33336.60082143561,3387.8697730436616,950.0,31119.255754342274,3264.141423012342,950.0,37914.04874643041,3776.710338900786
960.0,39530.00096957931,3387.869772258487,960.0,38318.14573910528,3264.14142394966,960.0,35695.68691096404,3776.7103388428327
970.0,38773.78342515709,3387.869771441471,970.0,34084.884446929034,3264.141424635214,970.0,39883.67459942603,3776.710339018386
980.0,37072.592680304915,3387.869770783282,980.0,31098.02090772037,3264.141424916858,980.0,36915.56373656652,3776.710339147129
990.0,28760.149489531752,3387.8697704152455,990.0,33290.91230084087,3264.1414251655024,990.0,33063.126552423564,3776.7103392027984
1000.0,34867.74608812666,3387.8697702003615,1000.0,27019.445976236108,3264.1414257577403,1000.0,39601.82139853336,3776.7103391550563
1010.0,31981.51417164894,3387.8697701037668,1010.0,33066.46445699013,3264.141426219252,1010.0,32989.34015495391,3776.710338969493
1020.0,34367.91442244402,3387.8697701201804,1020.0,36052.44607345979,3264.141426505341,1020.0,39261.41930343115,3776.7103387313214
1030.0,31341.28696461279,3387.869770176947,1030.0,34082.41621619967,3264.1414265659723,1030.0,39083.91097489789,3776.710338621195
1040.0,37054.44203639163,3387.8697703879184,1040.0,35712.05570307478,3264.141426345775,1040.0,42966.26786464175,3776.7103384934035
1050.0,36506.6551552737,3387.869770588803,1050.0,35045.23594508086,3264.141425975541,1050.0,47057.569835900984,3776.710338354513
1060.0,26769.47984356575,3387.869770672257,1060.0,34861.14919392734,3264.1414258011246,1060.0,43546.897533784846,3776.7103382122123
1070.0,33157.96319486651,3387.869770676207,1070.0,34292.26754549917,3264.1414255674736,1070.0,39004.11335727877,3776.710338075308
1080.0,29263.9449742215,3387.869770683239,1080.0,31834.472414552904,3264.1414252947384,1080.0,30849.971648227867,3776.710337945318
1090.0,38456.74601152929,3387.869770624515,1090.0,33167.697675827076,3264.141425006499,1090.0,36142.49984239222,3776.710337807693
1100.0,33690.202321604185,3387.869770525041,1100.0,27256.869155304204,3264.141424729767,1100.0,37333.996111540066,3776.710337685724
1110.0,28592.08222687893,3387.8697703505277,1110.0,32783.5953143174,3264.14142447162,1110.0,29115.223060055305,3776.7103375873467
1120.0,29956.014629588106,3387.8697701674555,1120.0,36167.70510956235,3264.141424154427,1120.0,34446.865001757214,3776.71033752113
1130.0,29723.87833105972,3387.869770040768,1130.0,39109.61260978158,3264.1414238638017,1130.0,36386.66149071667,3776.710337496274
1140.0,35224.13600292887,3387.869769937788,1140.0,28594.91151653615,3264.1414236201344,1140.0,37631.170641733406,3776.7103375000866
1150.0,34561.431891123495,3387.8697696847435,1150.0,29451.54525360025,3264.14142344538,1150.0,37980.382002687125,3776.710337426746
1160.0,32660.04559167989,3387.869769422583,1160.0,32152.416234501008,3264.1414233630603,1160.0,33194.14895903497,3776.7103373564323
1170.0,33028.05233546693,3387.869769199887,1170.0,31360.155348658365,3264.1414233863343,1170.0,36489.89383218709,3776.710337291333
1180.0,35297.02676844182,3387.869769090573,1180.0,38564.860470917876,3264.141423324145,1180.0,37810.41472746045,3776.7103372342754
1190.0,37927.295167722245,3387.8697691983443,1190.0,30178.99659903336,3264.1414232972234,1190.0,38845.66398826947,3776.7103371887297
1200.0,37248.45827433115,3387.8697690245217,1200.0,33685.20359201474,3264.141423302528,1200.0,34853.80619716213,3776.710337158802
1210.0,35094.30245843707,3387.86976884915,1210.0,34980.95298017208,3264.141423335535,1210.0,40241.87031254434,3776.7103371492435
1220.0,33045.536218678855,3387.869768719198,1220.0,29242.822377517143,3264.1414233902397,1220.0,35837.388007963345,3776.7103371654434
1230.0,33498.16768097306,3387.8697686822034,1230.0,28856.140634959538,3264.141423459157,1230.0,40115.49662927478,3776.7103372134316
1240.0,35319.365715646796,3387.8697688034536,1240.0,30470.474419919727,3264.141423548903,1240.0,37461.908347060584,3776.7103372998777
1250.0,36043.25663367081,3387.869768937313,1250.0,31524.605986041828,3264.1414236440755,1250.0,46045.1874347806,3776.710337303074
1260.0,32718.739181201407,3387.869768959471,1260.0,31185.887737605495,3264.141423734216,1260.0,32787.909077303746,3776.710337294309
1270.0,33169.847654903555,3387.8697690083764,1270.0,29959.923577993024,3264.141423808511,1270.0,36360.602209478304,3776.710337288098
1280.0,34342.11575226192,3387.8697690920485,1280.0,34946.94988260828,3264.141423854885,1280.0,39352.865204787384,3776.710337285418
1290.0,29428.628135502513,3387.869769221909,1290.0,41410.666834574135,3264.141423860009,1290.0,38389.99482641447,3776.7103372874612
1300.0,33626.783495937874,3387.869769402064,1300.0,31286.814390196425,3264.1414239666587,1300.0,36522.31165080972,3776.710337295637
1310.0,30356.883784941158,3387.869769530813,1310.0,34334.231312049415,3264.141424123674,1310.0,35573.282625465996,3776.710337311575
