time1,3  .*  Cit_AU_theta1_Mean,3  .*  Cit_AU_theta1_Std
0,2382.202774,246.9028716
10,2601.881585,281.5804423
20,3915.752199,443.2270727
30,7497.70435,722.252699
40,9578.829633,1066.328911
50,14933.94477,1426.652086
60,17787.53794,1769.829275
70,21681.67284,2077.349817
80,21459.85283,2341.6518
90,23228.22504,2562.123175
100,26691.86202,2742.018637
110,31967.04023,2886.37631
120,29282.56024,3000.737143
130,37765.1042,3090.429239
140,32963.80389,3160.218083
150,29394.51677,3214.177984
160,36726.50433,3255.687714
170,31105.6215,3287.48906
180,33429.07631,3311.771515
190,36578.55061,3330.262412
200,39751.91293,3344.311753
210,34660.13684,3354.966902
220,25879.17775,3363.035704
230,33854.20733,3369.138365
240,34595.19032,3373.749244
250,34771.14925,3377.230047
260,37583.23933,3379.855893
270,30307.13351,3381.835622
280,32497.2021,3383.327493
290,33822.72508,3384.451275
300,31627.47933,3385.297502
310,37993.39882,3385.934549
320,31298.60065,3386.414012
330,34794.21084,3386.774799
340,42582.82457,3387.046243
350,25893.73541,3387.250443
360,31339.85222,3387.404039
370,38544.62209,3387.51956
380,33775.0942,3387.606438
390,37017.05961,3387.671772
400,32458.24971,3387.7209
410,36750.02372,3387.757841
420,34024.61026,3387.785617
430,35851.3912,3387.806499
440,39765.14424,3387.8222
450,27295.40897,3387.834006
460,38521.52013,3387.842882
470,32206.10937,3387.849555
480,33647.03875,3387.854572
490,34712.27555,3387.858344
500,35961.34122,3387.86118
510,35416.69679,3387.863312
520,29028.48142,3387.864915
530,26813.869,3387.86612
540,31355.21338,3387.867025
550,33224.0303,3387.867705
560,29276.85052,3387.868217
570,39156.38671,3387.868602
580,34614.08399,3387.868892
590,30556.93766,3387.86911
600,29662.27143,3387.869274
610,35533.63277,3387.869397
620,31115.89244,3387.869489
630,39656.38955,3387.869559
640,32192.22666,3387.869611
650,31321.42058,3387.86965
660,30933.08238,3387.869677
670,36090.66613,3387.869698
680,32088.85587,3387.869714
690,32616.99159,3387.869726
700,33479.93826,3387.869737
710,28985.89005,3387.869745
720,26728.85781,3387.869752
730,39659.25005,3387.869757
740,29098.8211,3387.86976
750,37249.63789,3387.869763
760,39289.17822,3387.869764
770,36589.2495,3387.869765
780,35616.05946,3387.869766
790,29203.5742,3387.869767
800,37648.40656,3387.869768
810,34477.78845,3387.869769
820,35852.51457,3387.869769
830,29766.21898,3387.869771
840,39170.80169,3387.869772
850,38509.37814,3387.869772
860,36059.15247,3387.869774
870,42889.13182,3387.869775
880,31015.19232,3387.869775
890,33188.06574,3387.869775
900,31917.23955,3387.869776
910,26937.49169,3387.869776
920,35707.92303,3387.869775
930,34179.70281,3387.869775
940,30940.3821,3387.869774
950,33336.60082,3387.869773
960,39530.00097,3387.869772
970,38773.78343,3387.869771
980,37072.59268,3387.869771
990,28760.14949,3387.86977
1000,34867.74609,3387.86977
1010,31981.51417,3387.86977
1020,34367.91442,3387.86977
1030,31341.28696,3387.86977
1040,37054.44204,3387.86977
1050,36506.65516,3387.869771
1060,26769.47984,3387.869771
1070,33157.96319,3387.869771
1080,29263.94497,3387.869771
1090,38456.74601,3387.869771
1100,33690.20232,3387.869771
1110,28592.08223,3387.86977
1120,29956.01463,3387.86977
1130,29723.87833,3387.86977
1140,35224.136,3387.86977
1150,34561.43189,3387.86977
1160,32660.04559,3387.869769
1170,33028.05234,3387.869769
1180,35297.02677,3387.869769
1190,37927.29517,3387.869769
1200,37248.45827,3387.869769
1210,35094.30246,3387.869769
1220,33045.53622,3387.869769
1230,33498.16768,3387.869769
1240,35319.36572,3387.869769
1250,36043.25663,3387.869769
1260,32718.73918,3387.869769
1270,33169.84765,3387.869769
1280,34342.11575,3387.869769
1290,29428.62814,3387.869769
1300,33626.7835,3387.869769
1310,30356.88378,3387.86977
1320,33750.01217,3387.86977
1330,38191.46005,3387.86977
1340,31974.29642,3387.86977
1350,34306.86759,3387.86977
1360,27560.25809,3387.86977
1370,26877.98681,3387.86977
1380,30257.82609,3387.86977
1390,36919.1092,3387.86977
1400,30296.44055,3387.86977
1410,36822.73505,3387.86977
1420,33578.81429,3387.86977
1430,32042.7124,3387.86977
