time1,4_theta1_Mean,4_theta1_Std,time2,4_theta2_Mean,4_theta2_Std,time3,4_theta3_Mean,4_theta3_Std
0.0,2033.108243250884,207.63299514657524,0.0,2641.876519458421,220.94573965531524,0.0,1883.408917638606,167.33434473753937
5.016666667,1852.055978509601,210.0092425074396,5.016666667,2111.188137564545,222.85841413088053,5.016666667,1743.6453620438567,172.35912306824656
10.01666667,2326.9985208831667,223.54326959238972,10.01666667,2545.8927480533184,233.86348786547933,10.01666667,1987.3350044932863,199.84119316882715
15.03333333,2162.702441351363,252.72793671280053,15.03333333,1997.2009407384926,257.86493278500114,15.03333333,2405.334611032832,256.49013831191644
20.03333333,3149.7196702330857,297.70770331951053,20.03333333,3290.2321401211293,295.28149204010316,20.03333333,4062.603820370402,339.91899677658444
25.03333333,3312.9558467051525,356.3890978191396,25.03333333,3289.5535322538553,344.6531181929014,25.03333333,4202.26042428999,443.9667442417943
30.03333333,4307.7038137097215,425.7263185333731,30.03333333,4305.630314234088,403.6484711634318,30.03333333,6611.5132895004235,561.5622685636334
35.03333333,4836.367235224989,502.4724850440099,35.03333333,4821.909001985288,469.6750308316908,35.03333333,6576.870604207031,686.1459874603894
40.03333333,6125.734834111159,583.5905283487099,40.03333333,5383.660250775546,540.2293383820332,40.03333333,9241.512156899576,812.2704325733033
45.01666667,6580.619422566676,666.4521488517563,45.01666667,6604.224620369766,613.0804971248042,45.01666667,8129.154245603238,935.754103297544
50.03333333,6398.88601905848,748.9089412987405,50.03333333,7616.781231730455,686.3494171066097,50.03333333,11123.232688558495,1053.6095905249979
55.03333333,10051.92841910922,829.2900296463093,55.03333333,6370.230516934676,758.5252691082426,55.03333333,12472.648691318922,1163.8728774804758
60.03333333,7962.566554888841,906.3606741456192,60.03333333,8008.619678925058,828.4462424732903,60.03333333,11871.06014552355,1265.4037726918405
65.03333333,9489.271123078606,979.2631895932436,65.03333333,9896.788817316721,895.2619817247798,65.03333333,14597.999711869832,1357.6935525149256
70.03333333,10308.705370309526,1047.4529258522239,70.03333333,8722.094621947299,958.3885475611928,70.03333333,15204.77666072648,1440.696279238403
75.01666667,10829.75292939165,1110.636534669936,75.01666667,10484.027303873532,1017.4624146803098,75.01666667,17082.494998873422,1514.6893038291496
80.01666667,12324.259729113222,1168.7162465087658,80.01666667,9748.818877114012,1072.2971911338232,80.01666667,13866.241282562856,1580.1626801055247
85.03333333,13783.074383758427,1221.7417286341874,85.03333333,13225.940108203644,1122.844921671009,85.03333333,16285.756369142164,1637.7344916564903
90.01666667,14159.822164762705,1269.6855809895712,90.01666667,11554.146141881261,1169.0125575757372,90.01666667,13863.548842074675,1687.708156228383
95.03333333,15090.608049377852,1306.734001361209,95.03333333,12340.54274994898,1205.959846222054,95.03333333,17984.76494082439,1718.794288982945
100.0333333,12299.020383027353,1324.5500897927714,100.0333333,12820.102368763191,1226.5983215153062,100.0333333,17308.732361798448,1716.3366185739806
105.0333333,15392.762862807844,1320.798217844628,105.0333333,13584.297526978033,1228.6424806163966,105.0333333,13829.804193314772,1678.6968015571704
110.0166667,13089.648127422388,1296.830663965964,110.0166667,13108.289898503994,1212.875661844514,110.0166667,18118.646747782423,1611.024274109657
115.0166667,12636.3265947535,1255.787146104817,115.0166667,11716.514040887725,1181.6588596466581,115.0166667,10302.099762300593,1520.909040295434
120.0166667,11768.804821658696,1201.6367966833539,120.0166667,12451.194799190043,1138.1557307257563,120.0166667,14554.868290313883,1416.4853645710105
125.1333333,10645.113920953292,1144.201031686628,125.1333333,11364.570930764765,1090.4555165255542,125.1333333,11234.537583229125,1316.5910570672318
130.0166667,10283.12872020977,1095.5195206299072,130.0166667,9452.429172755801,1048.7431346206333,130.0166667,14755.229598204161,1242.1106497769802
135.1333333,10024.819559762762,1061.1513981874657,135.1333333,10583.41302958766,1018.0764016610503,135.1333333,12246.594304111104,1199.5282690310582
140.0333333,9393.816020776212,1042.4323734115121,140.0333333,10662.636798159283,1000.0483754774289,140.0333333,12271.342377225372,1187.2764185015972
145.0333333,11646.50922495931,1038.3865287640635,145.0333333,11368.287226812146,994.2667647363046,145.0333333,11481.450042355413,1200.2759253201536
150.0166667,13284.38274159266,1046.9154893030243,150.0166667,9062.52305866824,999.3014554464685,150.0166667,12757.437025239495,1232.4207638160524
155.0166667,9119.569741060284,1065.5147335517142,155.0166667,11045.837853622535,1013.2755501158219,155.0166667,13663.475148275109,1277.8470054639888
160.0333333,10673.965693769254,1091.684766173985,160.0333333,10406.893747301508,1034.2202622016919,160.0333333,14308.207152566596,1331.5014967640354
165.0166667,10416.777992615818,1123.1489607694846,165.0166667,10309.587159948685,1060.275728513656,165.0166667,14068.930880746382,1389.3228149241636
