time1,4_theta1_Mean,4_theta1_Std,time2,4_theta2_Mean,4_theta2_Std,time3,4_theta3_Mean,4_theta3_Std
0.0,1921.8946800396393,207.63299514657524,0.0,2152.6046010903624,220.94573965531524,0.0,1822.5574311916043,167.33434473753937
5.016666667,2540.426194282169,207.63299514657524,5.016666667,1874.5750941840554,220.94573965531524,5.016666667,1832.1028482413217,167.33434473753937
10.01666667,2303.07220881272,207.63299514657524,10.01666667,2074.8669662112725,220.94573965531524,10.01666667,1568.8475550199203,167.33434473753937
15.01666667,2230.7570909117762,207.63299514657524,15.01666667,1973.9460149041913,220.94573965531524,15.01666667,1529.760958875753,167.33434473753937
20.01666667,2261.0790557060973,207.63299514657524,20.01666667,2621.167930546253,220.94573965531524,20.01666667,1817.1786365257915,167.33434473753937
25.01666667,2224.426469266699,207.63299514657524,25.01666667,2051.09106519448,220.94573965531524,25.01666667,1553.9712729870423,167.33434473753937
30.01666667,1951.557412422435,207.63299514657524,30.01666667,2014.0059324203246,220.94573965531524,30.01666667,1672.282516980254,167.33434473753937
35.03333333,2118.5042201703795,207.63299514657524,35.03333333,2160.011974413357,220.94573965531524,35.03333333,1688.0447605186341,167.33434473753937
40.01666667,2223.32979184598,207.63299514657524,40.01666667,1742.5686009615001,220.94573965531524,40.01666667,1504.8814170488101,167.33434473753937
45.01666667,2043.12033473653,207.63299514657524,45.01666667,2150.0084841755242,220.94573965531524,45.01666667,1600.3384668980514,167.33434473753937
50.01666667,2497.138582391979,207.63299514657524,50.01666667,2324.8550686205667,220.94573965531524,50.01666667,2087.7836470297607,167.33434473753937
55.01666667,1662.0657478851072,207.63299514657524,55.01666667,2229.5889411271132,220.94573965531526,55.01666667,1472.8585384234602,167.33434473753937
60.01666667,2175.1021601817542,207.63299514657524,60.01666667,2290.9183407069277,220.94573965531526,60.01666667,1469.7248723511484,167.33434473753937
65.01666667,1725.7370246270912,207.63299514657524,65.01666667,2399.366014110749,220.94573965531526,65.01666667,1726.844838185942,167.33434473753937
70.01666667,2445.4892787035624,207.63299514657524,70.01666667,2140.7685967164125,220.94573965531524,70.01666667,1515.9538364546165,167.33434473753937
75.01666667,2020.697138622179,207.63299514657524,75.01666667,2012.0532170520926,220.94573965531524,75.01666667,1453.7377043966965,167.33434473753937
80.01666667,2144.93979700554,207.63299514657524,80.01666667,1999.3381901137877,220.94573965531524,80.01666667,1781.6493507099597,167.33434473753937
85.01666667,1919.2816762917532,207.63299514657524,85.01666667,2265.73806353307,220.94573965531524,85.01666667,1679.6773936625525,167.33434473753937
90.01666667,2036.1867528268217,207.63299514657524,90.01666667,2392.3129780773047,220.94573965531524,90.01666667,1699.733209304949,167.33434473753937
95.01666667,2553.6495537115893,207.63299514657524,95.01666667,2015.7245089248408,220.94573965531524,95.01666667,1633.7692812429048,167.33434473753937
100.0166667,2035.8452099687447,207.63299514657524,100.0166667,1961.469482691412,220.94573965531524,100.0166667,1437.5540221737072,167.33434473753937
105.0166667,2309.237311263466,207.63299514657524,105.0166667,2404.541891100656,220.94573965531524,105.0166667,1642.0323413535775,167.33434473753937
110.0166667,1767.3948388695562,207.63299514657524,110.0166667,2560.5926969195357,220.94573965531524,110.0166667,1559.051150287753,167.33434473753937
115.0166667,2069.660787330266,207.63299514657524,115.0166667,1942.543212898624,220.94573965531524,115.0166667,1845.5124013784193,167.33434473753937
120.0166667,1682.8732983873658,207.63299514657524,120.0166667,2164.363396989808,220.94573965531524,120.0166667,1794.2152970329105,167.33434473753937
125.0166667,2056.9283505705316,207.63299514657524,125.0166667,2391.960839413708,220.94573965531524,125.0166667,1380.7119980397113,167.33434473753937
130.0166667,2168.9983713886713,207.63299514657524,130.0166667,2034.6381328349653,220.94573965531524,130.0166667,1709.4702859499944,167.33434473753937
135.0166667,2053.6292606326297,207.63299514657524,135.0166667,2331.7256631748346,220.94573965531524,135.0166667,2212.118357614212,167.33434473753937
140.0166667,2146.082549081204,207.63299514657524,140.0166667,1936.9502597501482,220.94573965531524,140.0166667,1764.9197397659034,167.33434473753937
145.0166667,1980.795588563611,207.63299514657524,145.0166667,2195.523040645454,220.94573965531524,145.0166667,1580.0512757109723,167.33434473753937
150.0166667,2279.2545685677915,207.61825415633484,150.0166667,2452.608530089744,220.93129115978368,150.0166667,1611.4395896717028,167.3206088506151
